TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
4-Oct-17,88.98,88.98,83.6,83.6,563000
3-Oct-17,86.01,88,86,88,16500
2-Oct-17,88.5,89,88.5,89,12000
28-Sep-17,86,87.49,86,87.49,4500
27-Sep-17,86.1,87.24,86.1,87.24,13500
25-Sep-17,90.5,90.5,88,88,138500
22-Sep-17,89.1,90.45,89,90,40000
21-Sep-17,94,94,90,90,136000
20-Sep-17,91,91.5,91,91,34500
19-Sep-17,88.99,91,88.12,90.98,249500
18-Sep-17,87,88,87,87.7,11500
15-Sep-17,85.5,86,85,86,33500
14-Sep-17,87,87,85,86,58000
13-Sep-17,86.49,86.49,85.9,86,58000
12-Sep-17,85,85,85,85,46500
11-Sep-17,83.67,85.5,83.62,85.03,31500
8-Sep-17,86.9,86.96,85,85,52500
7-Sep-17,85,85,85,85,4000
6-Sep-17,85.25,85.25,85.25,85.25,3000
5-Sep-17,87,87.4,84.47,86.09,24000
31-Aug-17,86.5,87,84.1,86.86,11500
30-Aug-17,84,86.6,84,86.6,5500
29-Aug-17,86.5,86.5,84,85.88,40000
28-Aug-17,87.84,88,85.55,87.14,19500
25-Aug-17,86.05,87,85,86.29,73500
24-Aug-17,88.51,88.51,87,87.56,42500
23-Aug-17,88.9,90.39,88.9,89.83,54500
22-Aug-17,83.5,88.55,83,88.44,150000
21-Aug-17,85,85,84,84.34,511500
18-Aug-17,85.75,86.99,84.1,86.98,33000
17-Aug-17,86.1,86.1,84,85.75,54500
16-Aug-17,86.5,86.99,85.5,86.27,29500
15-Aug-17,89,89,86,86.99,45000
11-Aug-17,89.5,89.5,89,89.44,1500
10-Aug-17,88.05,88.99,88,88.05,3500
9-Aug-17,88.75,88.75,87.5,87.5,25000
8-Aug-17,89,89,88,88.09,74000
7-Aug-17,89.1,89.1,88.85,89,59000
4-Aug-17,92.5,93,91.01,91.01,33500
3-Aug-17,92.49,92.49,92.49,92.49,1000
2-Aug-17,92.5,92.5,91.51,91.51,9000
1-Aug-17,91.5,93.86,91.5,92.5,73000
31-Jul-17,91.85,93,91.75,91.75,62000
28-Jul-17,87.31,92,87.3,91.75,31500
27-Jul-17,92,92,90.5,91,292500
26-Jul-17,89.01,92,89.01,91.95,336500
25-Jul-17,89,89.5,88.5,89.5,19500
24-Jul-17,87,89,87,89,2000
20-Jul-17,88.5,89,87.75,88.5,28000
19-Jul-17,89.9,89.9,88.3,88.5,160500
18-Jul-17,87.7,90,87.7,89.73,162000
17-Jul-17,87.5,87.7,87.01,87.7,2000
14-Jul-17,87.7,87.7,87.7,87.7,5000
13-Jul-17,86.11,88.9,86.11,87.67,1500
12-Jul-17,84.01,89.5,84,88.34,10500
11-Jul-17,88.02,88.02,86.64,86.64,89000
10-Jul-17,87,91.35,87,91.19,48000
7-Jul-17,86.6,89.36,86.6,87,16500
6-Jul-17,89,89,85.11,85.11,416000
5-Jul-17,89.1,89.1,89,89,9500
4-Jul-17,89.5,89.9,87.89,89.52,21000
3-Jul-17,86.25,86.28,86,86.01,14000
30-Jun-17,89.45,91,88.5,89.62,7500
29-Jun-17,89.7,90.5,88.6,88.79,54400
22-Jun-17,88.5,89.45,88.11,88.49,22700
21-Jun-17,89.8,89.8,85.01,87.11,68800
20-Jun-17,90,90.01,86.3,86.7,136900
19-Jun-17,89.5,92.5,89.5,90.84,149800
16-Jun-17,91.75,91.75,89.58,90.16,26800
15-Jun-17,91.95,92.7,91,91.69,68400
14-Jun-17,92.5,92.5,91,91.02,29000
13-Jun-17,93.9,93.9,91,91.96,42100
12-Jun-17,93,93.05,91,91.29,56400
9-Jun-17,96.16,96.16,94.3,95,2700
8-Jun-17,94.5,96,94.3,95.1,4000
7-Jun-17,94,95,93.3,94.68,321400
6-Jun-17,96.55,96.55,95,95.03,52700
5-Jun-17,95.5,97.9,94.6,96.75,449200
2-Jun-17,94.01,95,93,94.19,141800
1-Jun-17,96.01,96.94,94.62,95.96,801000
31-May-17,98.11,98.49,96.38,96.88,64500
